Empresa,COD_LOCAL,VELOC_VIA,VELOC_MARCA,VIA,SENTIDO,PISTA,Latitude,Longitude,Enquadramento_fiscalizados,Data_inicio_operacao,DESC_LOCAL,,,,,,,,,,,,,,,,,
,4067,60,68,,,,,,,,AV.,JOSE,MARIA,"WHITAKER,",PROX.,N.967,-,SENTIDO,AV.,RUBEM,BERTA,/,AV.,JABAQUARA,,,,
,4068,60,68,,,,,,,,AV.LINEU,DE,PAULA,"MACHADO,",DEFRONTE,N.782,-,SENT.,USP/TUNEL,PRES.,JANIO,QUADROS,,,,,,
,4069,60,68,,,,,,,,AV.,LINEU,DE,PAULA,"MACHADO,",OPOSTO,N.506,-,SENT.,TUNEL,PRES.,JANIO,QUADROS/USP,,,,,
,4070,60,68,,,,,,,,AV.,ENG.,GEORGE,"CORBISIER,",PROXIMO,APRAùA,ACACIO,RAMOS,-,SENT.,CENTRO/BAIRRO,,,,,,,
,4071,50,58,,,,,,,,RUA,DA,"CONSOLACAO,",DEFRONTE,AO,N.,1663(BOMBEIROS)-SENT.B/C-,FX.,EXCL.,DE,ONIBUS,,,,,,,
,4072,50,58,,,,,,,,RUA,DA,"CONSOLACAO,",DEFRONTE,AO,N.2288-SENT.CENTRO/BAIRRO,-,FX.,EXCL.,DE,ONIBUS,,,,,,,
,4073,50,58,,,,,,,,AV.,"REBOUCAS,",PROXIMO,A,AL.,LORENA,-SENT.BAIRRO/CENTRO-,FX.,EXCLUS.,DE,ONIBUS,,,,,,,
,4074,50,58,,,,,,,,AV.,"REBOUCAS,",PROXIMO,E,OPOSTO,A,AL.LORENA,#NAME?,#NAME?,EXCLUSIVA,DE,ONIBUS,,,,,,
,4075,50,58,,,,,,,,AV.,"REBOUCAS,",PROXIMO,E,OPOSTO,RUAAURIFLAMA,-SENT.B/C-FX.,EXCLUS.,DE,ONIBUS,,,,,,,,
,4076,70,78,,,,,,,,AV.,PROF.,LUIZ,INACIO,DE,ANHAIA,"MELLO,PROX.",R.,TORQUATO,TASSO,-,SENT.C/B,,,,,,
,4077,70,78,,,,,,,,AV.,ALCANTARA,"MACHADO,",PROXIMO,A,RUA,PLACIDINA,-,SENT.,BAIRRO/CENTRO,,,,,,,,
,4078,70,78,,,,,,,,AV.,ALCANTARA,"MACHADO,",PROXIMO,A,RUA,PLACIDINA,-,SENT.,CENTRO/BAIRRO,,,,,,,,
,4079,70,78,,,,,,,,R.,MELO,"FREIRE,",PROXIMO,A,RUA,PROFó.SEBASTIANA,S.,MINHOTO,#NAME?,,,,,,,,
,4080,70,78,,,,,,,,R.,MELO,"FREIRE,",PROXIMO,A,RUA,PROFó.SEBASTIANA,S.,MINHOTO,#NAME?,,,,,,,,
,4081,50,58,,,,,,,,RUA,CHIQUINHA,"RODRIGUES,",APOS,A,RUA,DRRUI,BATISTA,PEREIRA,(SENT.,CENTRO/BAIRRO),,,,,,,
,4082,60,68,,,,,,,,AV.,DO,"IMPERADOR,",DEFRONTE,N.5491-SENTAV.,PIRES,DO,RIO/AV.,AGUIA,DE,HAIA,,,,,,,
,4083,60,68,,,,,,,,AV.,DO,"IMPERADOR,",DEFRONTE,N.6082-SENT.,AV.,AGUIA,DE,HAIA/AV.,PIRES,DO,RIO,,,,,,
,4084,70,78,,,,,,,,AV.,MAGALHAES,DE,"CASTRO,",PROX.,N.5500-,SENT.,CASTELO,BRANCO/INTERLAGOS,,,,,,,,,
,4085,70,78,,,,,,,,AV.,MAGALHAES,DE,"CASTRO,",PROX.,N.1230-,SENT.,CASTELO,BRANCO/INTERLAGOS,,,,,,,,,
,4086,50,58,,,,,,,,R.,"LOEFGREEN,",PROX.,R.,CORREDEIRA,#NAME?,IPIRANGA,/,VILA,MARIANA,,,,,,,,
,4087,50,58,,,,,,,,R.,"LOEFGREEN,",PROX.,R.,DR.,LUNA,#NAME?,VILA,MARIANA,/,IPIRANGA,,,,,,,
,4088,60,68,,,,,,,,AV.,DR.,RICARDO,"JAFET,",PROX.,R.,PADREMACHADO,-,SENT.,IPIRANGA/IMIGRANTES,,,,,,,,
,4089,60,68,,,,,,,,AV.,DR.,RICARDO,"JAFET,",PROX.,AO,OPOSTO,DO,N.3025,-,SENT.,IMIGRANTES,/,IPIRANGA,,,,
,4090,50,58,,,,,,,,AV.,ROBERT,"KENNEDY,",DEFRONTE,AO,N.2445,SENT.,BAIRRO/CENTRO,-,FX.,EXCL.,ONIBUS,,,,,,
,4091,60,68,,,,,,,,AV.,ROBERT,"KENNEDY,",DEFRONTE,AO,N.2445,-,SENTIDO,BAIRRO/CENTRO,,,,,,,,,
,4092,60,68,,,,,,,,AV.,"INTERLAGOS,",PROXIMO,AO,N.,3408,#NAME?,CENTRO,/,BAIRRO,,,,,,,,
,4093,60,68,,,,,,,,AV.,"INTERLAGOS,",PROXIMO,AO,N.,2974,#NAME?,CENTRO,/,BAIRRO,,,,,,,,
,4094,60,68,,,,,,,,AV.,ELISEU,DE,"ALMEIDA,",PROX.,R.,GARCIA,LORCA,-,SENT.,BAIRRO,/,CENTRO,,,,,
,4095,60,68,,,,,,,,AV.,ELISEU,DE,"ALMEIDA,",PROX.,R.,LEVONAPOVIAN,-,SENT.,CENTRO,/,BAIRRO,,,,,,
,4096,60,68,,,,,,,,AV.,"PIRAJUSSARA,",PROX.,R.,BARTOLOMàCARDUCHO,-,SENT.,CENTRO,/,BAIRRO,,,,,,,,
,4097,60,68,,,,,,,,AV.,"PIRAJUSSARA,",PROX.,R.,PE.,ANTONIOLINK,-,SENT.,BAIRRO,/,CENTRO,,,,,,,
,4098,60,68,,,,,,,,AV.,ROBERT,"KENNEDY,",PROX.,R.,PORTOARTUR,-,SENT.,CENTRO/BAIRRO,,,,,,,,,
,4099,60,68,,,,,,,,AV,ROBERT,"KENNEDY,",PROX.,R.,LAUDELINOLUZ,-,SENT.,BAIRRO,/,CENTRO,,,,,,,
,4100,50,58,,,,,,,,AV.,ROBERT,"KENNEDY,",OPOSTO,AO,N.,5829SENT.,C/B,-,FX.,EXCLUSIVA,DE,ONIBUS,,,,,
,4101,50,58,,,,,,,,ESTR.,DO,M'BOI,"MIRIM,",PROX.,R.JOAO,DEABREU,-,SENT.,B/C,-,FX.,EXCL.,ONIBUS,,,,
,4102,50,58,,,,,,,,AV.,PADRE,"LEBRET,",OPOSTO,AO,N.,249,#NAME?,AV.,MORUMBI/,ESTADIO,DO,MORUMBI,,,,,
,4103,60,68,,,,,,,,ESTR.,DE,"ITAPECERICA,",PROX.,AO,N.,-1808,SENTIDO,CENTRO,/,BAIRRO,,,,,,,
,4104,60,68,,,,,,,,ESTR.,DE,"ITAPECERICA,",PROX.,R.,MIGUELFRANCO,DE,ARAUJO,-,SENT.,BAIRRO/CENTRO,,,,,,,
,4105,60,68,,,,,,,,ESTR.,DE,"ITAPECERICA,",PROX.,R.,ROBERTO,SAMPAIO,FERREIRA,-,SENT.,BAIRRO/CENTRO,,,,,,,
,4106,60,68,,,,,,,,ESTR.,DE,"ITAPECERICA,PROX.",R.,LEOPOLDINA,DA,CONCEIùAO,FARIAS,-,SENT.,C/B,,,,,,,
,4107,70,78,,,,,,,,AV.,ENG.,"BILLINGS,",PROX.,AV.,ALEXANDRE,MACKENZIE,#NAME?,CAST.,BRANCO/INTERLAGOS,,,,,,,,
,4108,70,78,,,,,,,,AV.,DAS,NAùOES,"UNIDAS,",PROX.,N.,-22452,SENTIDO,CASTELO,BRANCO/INTERLAGOS,,,,,,,,
,4109,70,78,,,,,,,,AV.,DAS,NAùOES,"UNIDAS,",PROX.,N.,-22939,SENT.,INTERLAGOS,/,CASTELO,BRANCO,,,,,,
,4110,70,78,,,,,,,,AV.,DAS,NAùOES,"UNIDAS,",PROX.,R.,MOACIR,PADILHA,#NAME?,INTERLAGOS/CASTELO,BRANCO,,,,,,,
,4111,70,78,,,,,,,,AV.,DAS,NAùOES,"UNIDAS,",PROX.,R.,ATILIO,MILANO,-,SENT.,INTERLAGOS/CAST.,BRANCO,,,,,,
,4112,70,78,,,,,,,,AV.,DAS,NAùOES,"UNIDAS,",PX.,R.,BRAGANùAPAULISTA,-,SENT.,INTERLAGOS/CAST.,BRANCO,,,,,,,
,4113,70,78,,,,,,,,AV.,DAS,NAùOES,"UNIDAS,",PROX.,AO,PARQUE,VILLA,LOBOS,-,SENT.,INTERLAGOS/C.,BRANCO,,,,,
,4114,70,78,,,,,,,,AV.,DAS,NAùOES,"UNIDAS,",PX.,E,OPOSTO,AO,N.,20201-SENT.,CASTELO,BRANCO/INTERLAGOS,,,,,,
,4115,70,78,,,,,,,,AV.,EMB.,MACEDO,"SOARES,",PROX.,A,PONTENOVA,FEPASA,#NAME?,C.,BRANCO/AYRTON,SENNA,,,,,,
,4116,70,78,,,,,,,,AV.,CDSSA.,ELIZABETH,DE,"ROBIANO,",180MAPOS,R.,JACIRENDI,#NAME?,C.BRANCO/A.SENNA,,,,,,,,
,4117,70,78,,,,,,,,AV,CDSSA.,ELIZABETH,DE,"ROBIANO,",PROX.AO,KM,23,-,SENT.,C.,BRANCO/AYRTON,SENNA,,,,,
,4118,60,68,,,,,,,,AV.,DR.,RICARDO,"JAFET,",PROX.,A,RUAEMBUAùU,-,SENT.,IPIRANGA/IMIGRANTES,,,,,,,,
,4119,60,68,,,,,,,,AV.,DR.,RICARDO,"JAFET,",PROX.,A,RUA,DAIMPRENSA,-,SENT.,IMIGRANTES,/,IPIRANGA,,,,,
,4120,60,68,,,,,,,,AV.,PROF.,ABRAAO,DE,"MORAIS,",PROX.,A,R.IBIRAREMA,-,SENT.,IPIRANGA,/,IMIGRANTES,,,,,
,4121,60,68,,,,,,,,AV.,PROF.,ABRAAO,DE,"MORAIS,",PROX.,A,R.,IBIRAREMA,-,SENT.,IMIGRANTES,/,IPIRANGA,,,,
,4122,90,98,,,,,,,,AV.,PROF.,ABRAAO,DE,"MORAIS,ANTES",DO,VDMATHEUS,TORLONI,#NAME?,,,,,,,,,
,4123,90,98,,,,,,,,AV.,PROF.,ABRAAO,DE,"MORAIS,",PROX,AO,VD,MATHEUS,TORLONI-SENT.IMIGRANTES/IPIRANGA,,,,,,,,
,4124,60,68,,,,,,,,AV.,JOSE,MARIA,"WHITAKER,",PROX.,N.967,-,SENTIDO,AV.,JABAQUARA,/,AV.,RUBEM,BERTA,,,,
,4125,60,68,,,,,,,,AV.,CARLOS,CALDEIRA,"FILHO,",PROX.,R.TULIO,MUGNAINI,#NAME?,BAIRRO/CENTRO,,,,,,,,,
,4126,60,68,,,,,,,,AV.,CARLOS,CALDEIRA,"FILHO,",PX.,R.,JOAOFRANCISCO,DELMAS,#NAME?,BAIRRO/CENTRO,,,,,,,,
,4127,60,68,,,,,,,,AV.,CARLOS,CALDEIRA,"FILHO,",145M,APOS,AESTR.,DO,CAMPO,LIMPO,#NAME?,BAIRRO/CENTRO,,,,,,
,4128,60,68,,,,,,,,AV.,CARLOS,CALDEIRA,"FILHO,",A,100METROS,DO,N.,70,-,SENTIDO,CENTRO/BAIRRO,,,,,,
,4129,60,68,,,,,,,,AV.,CARLOS,CALDEIRA,"FILHO,",PROX.,R.AMADEI,SIMEI,-,SENTIDO,CENTRO/BAIRRO,,,,,,,,
,4130,60,68,,,,,,,,AV.,CARLOS,CALDEIRA,"FILHO,",PX,E,OPOSTOR.,JOAO,FRANCISCO,DELMAR,-,SENT.,C/B,,,,,
,4131,60,68,,,,,,,,AV.,CARLOS,CALDEIRA,"FILHO,",PROX.,R.LISSE,-,SENTIDO,CENTRO/BAIRRO,,,,,,,,,
,4132,70,78,,,,,,,,AV.MIGUEL,"YUNES,",145METROS,ANTES,DA,R.JOSE,MARTINS,COELHO,-,SENT.,BAIRRO/CENTRO,,,,,,,
,4133,70,78,,,,,,,,AV.,MIGUEL,"YUNES,",PROX.,R.,TABARE,-,SENTIDO,BAIRRO/CENTRO,,,,,,,,,
,4134,70,78,,,,,,,,AV.,MIGUEL,"YUNES,",143METROS,APOS,A,R,JOSE,MARTINS,COELHO,-,SENT.CENTRO/BAIRRO,,,,,,
,4135,70,78,,,,,,,,AV.,MIGUEL,"YUNES,",OPOSTO,AO,N.,581,#NAME?,CENTRO/BAIRRO,,,,,,,,,
,4136,60,68,,,,,,,,R.,"VERGUEIRO,",OPOSTO,AO,N.,1940,#NAME?,CENTRO/BAIRRO,,,,,,,,,,
,4137,60,68,,,,,,,,R.,"VERGUEIRO,",PROX.,R.,JOAQUIM,TAVORA,-,SENTIDO,CENTRO/BAIRRO,,,,,,,,,
,4138,60,68,,,,,,,,R.,"VERGUEIRO,",OPOSTO,AO,N.,2045,#NAME?,BAIRRO/CENTRO,,,,,,,,,,
,4139,60,68,,,,,,,,AV.,PROF.,NOE,DE,"AZEVEDO,",PROX.,R.DONA,JULIA,-,SENTIDO,CENTRO/BAIRRO,,,,,,,
,4140,60,68,,,,,,,,AV.,PROF.,NOE,DE,"AZEVEDO,",PROX.,R.DONA,JULIA,-,SENTIDO,BAIRRO/CENTRO,,,,,,,
,4141,60,68,,,,,,,,R.,DOMINGOS,DE,"MORAIS,",PROX.,R.PADRE,MACHADO,-,SENTIDO,BAIRRO/CENTRO,,,,,,,,
,4142,60,68,,,,,,,,R.,DOMINGOS,DE,"MORAIS,",OPOSTO,AON.,2083,-,SENTIDO,BAIRRO/CENTRO,,,,,,,,
,4143,60,68,,,,,,,,R.,DOMINGOS,DE,"MORAIS,",PROX.,R.,CUNHA-,SENTIDO,CENTRO/BAIRRO,,,,,,,,,
,4144,60,68,,,,,,,,AV.,"JABAQUARA,",OPOSTO,AO,N.,-452,SENTIDO,CENTRO/BAIRRO,,,,,,,,,,
,4145,60,68,,,,,,,,AV.,"JABAQUARA,",OPOSTO,AO,N.,-833,SENTIDO,BAIRRO/CENTRO,,,,,,,,,,
,4146,60,68,,,,,,,,AV.,"JABAQUARA,",OPOSTO,AO,N.,-952,SENTIDO,CENTRO/BAIRRO,,,,,,,,,,
,4147,60,68,,,,,,,,AV.,"JABAQUARA,",PROX.,AV.,MIGUELSTEFANO,-,SENTIDO,BAIRRO/CENTRO,,,,,,,,,,
,4148,60,68,,,,,,,,AV.,"JABAQUARA,",OPOSTO,AO,N.,1798SENTIDO,CENTRO/BAIRRO,,,,,,,,,,,
,4149,60,68,,,,,,,,AV.,"JABAQUARA,",PROX.,R.,IBITURANA-,SENTIDO,BAIRRO/CENTRO,,,,,,,,,,,
,4150,60,68,,,,,,,,AV.DOM,PEDRO,I,(PISTA,CENTRAL)DEFRONTEN.479-SENT.MUSEU,DO,IPIRANGA/AV.DO,ESTADO,,,,,,,,,,
,4151,60,68,,,,,,,,AV.DOM,PEDRO,I,(PISTA,CENTRAL)DEFRONTEN.654-SENT.AV.DO,ESTADO/MUSEU,DO,IPIRANGA,,,,,,,,,,
,4152,70,78,,,,,,,,AV.,MORVAN,DIAS,DE,"FIGUEIREDO,",PX.,R.BENEDITO,ALESSIO,(SENT.,A.SENNA/C.BRANCO),,,,,,,,
,4153,60,68,,,,,,,,AV.,GUILHERME,DUMONT,"VILLARES,",PX.,R.EDUARDO,AMBUBA,(SENTIDO,STO,AMARO/TABOAO),,,,,,,,
,4154,60,68,,,,,,,,AV.,GUILHERME,DUMONT,"VILLARES,",PX.,R.EDUARDO,AMBUBA,(SENTIDO,TABOAO/STO,AMARO),,,,,,,,
,4155,60,68,,,,,,,,AV.,DR.,LUIS,"MIGLIANO,",PROX.,R.,JOSECOIMBRA,(SENTIDO,STO,AMARO/TABOAO),,,,,,,,
,4156,60,68,,,,,,,,AV.,"IBIRAPUERA,",PROX.,R.,IPE(SENTIDO,BAIRRO/CENTRO),,,,,,,,,,,,
,4157,50,58,,,,,,,,VD.,VER.,JOSE,"DINIZ,",SOBRE,AV.,PROF.VICENTE,RAO,(SENT.,C/B),#NAME?,EXCLUS,ONIBUS,,,,,
,4158,60,68,,,,,,,,AV.,"NAZARE,",PROX.,AL.,VIEIRA,DEALMEIDA,(SENTIDO,IPIRANGA/SACOMA),,,,,,,,,,
,4159,60,68,,,,,,,,AV.,"LIBERDADE,",OPOSTO,AO,N.,956(SENTIDO,CENTRO/BAIRRO),,,,,,,,,,,
,4160,60,68,,,,,,,,AV.,"LIBERDADE,",PROX.,R.,DR.,RODRIGOSILVA,(SENTIDO,CENTRO/BAIRRO),,,,,,,,,,
,4161,60,68,,,,,,,,AV.,"LIBERDADE,",OPOSTO,AO,N.,975(SENTIDO,BAIRRO/CENTRO),,,,,,,,,,,
,4162,60,68,,,,,,,,AV.,"LIBERDADE,",OPOSTO,AO,N.,128(SENTIDO,BAIRRO/CENTRO),,,,,,,,,,,
,4163,50,58,,,,,,,,AV,PROF,VICENTE,"RAO,",DEFRONTE,R,SONIARIBEIRO,#NAME?,LUIS/MARG,PINH,#NAME?,EXCL,ONIBUS,,,,,
,4164,50,58,,,,,,,,AV,PROF,VICENTE,"RAO,",OPOSTO,R,SONIARIBEIRO,#NAME?,PINH/W,LUIS,#NAME?,EXCL,ONIBUS,,,,,
,4165,50,58,,,,,,,,AV.,VER.,JOAO,DE,"LUCA,",DEFRONTE,N.,790-MARG.PINHEIROS/DIADEMA,#NAME?,EXCLUS,ONIBUS,,,,,,,
,4166,50,58,,,,,,,,AV.,VER.,JOAO,DE,"LUCA,",DEFRONTE,N.,221-DIADEMA/MARG.PINHEIROS,#NAME?,EXCLUS,ONIBUS,,,,,,,
,4167,70,78,,,,,,,,AV.,JACU-PESSEGO,"SUL,",A,350,MTS,DO,VD.RAGUEB,CHOHFI,(SENT.,ITAQUERA/RODOANEL),,,,,,,
,4168,70,78,,,,,,,,AV.,JACU-PESSEGO,"SUL,",EM,FRENTE,A,E.E.JARDIM,IGUATEMI,(SENT.,RODOANEL/ITAQUERA),,,,,,,,
,4169,70,78,,,,,,,,AV.,JACU-PESSEGO,"SUL,",PROX.,A,COHABSAO,FRANCISCO,(SENT.,ITAQUERA/RODOANEL),,,,,,,,,
,4170,70,78,,,,,,,,AV.,JACU-PESSEGO,"SUL,",PROX.,A,COHABSAO,FRANCISCO,(SENT.,RODOANEL/ITAQUERA),,,,,,,,,
,4171,50,58,,,,,,,,AV.,"ATLANTICA,",PROX.,R.,BENEDITO,LEITE(SENTIDO,CENTRO/BAIRRO)-FX,EXCLUS,ONIBUS,,,,,,,,,
,4172,50,58,,,,,,,,AV.,"ATLANTICA,",PROX.,R.,CARLOS,KLEIN(SENTIDO,BAIRRO/CENTRO)-FX,EXCLUS,ONIBUS,,,,,,,,,
,4173,50,58,,,,,,,,AV.,"ATLANTICA,",PROX.,R.,NICOLAU,ALAYON(SENTIDO,BAIRRO/CENTRO)-FX,EXCLUS,ONIBUS,,,,,,,,,
,4174,50,58,,,,,,,,AV.,"ATLANTICA,",DEFRONTE,AO,N.,2445(SENTIDO,BAIRRO/CENTRO)-FX,EXCLUS,ONIBUS,,,,,,,,,
,4175,60,68,,,,,,,,AV.,"ATLANTICA,",DEFRONTE,AO,N.,2445(SENTIDO,BAIRRO/CENTRO),,,,,,,,,,,
,4176,60,68,,,,,,,,AV.,"ATLANTICA,",PROX.,R.,PORTO,ARTUR(SENTIDO,CENTRO/BAIRRO),,,,,,,,,,,
,4177,60,68,,,,,,,,AV.,"ATLANTICA,",PROX.,R.,LAUDELINO,LUZ(SENTIDO,BAIRRO/CENTRO),,,,,,,,,,,
,4178,50,58,,,,,,,,AV.,"ATLANTICA,",OPOSTO,AO,N.,5829(SENTIDO,CENTRO/BAIRRO)-FX,EXCLUS,ONIBUS,,,,,,,,,
,4179,40,48,,,,,,,,R.,MAURICIO,F,"KLABIN,",PROX.,R,DR,LOPES,DE,ALMEIDA,(SENTIDO,V.MARIANA/IPIRANGA),,,,,,
,4200,60,68,,,,,,,,AV.,ALCANTARA,"MACHADO,",PROXIMO,A,RUA,DR.,ALMEIDA,"LIMA,",SENTIDO,BAIRRO/CENTRO,,,,,,,
,4201,60,68,,,,,,,,AV.,ALCANTARA,"MACHADO,",PROXIMO,A,RUA,SIQUEIRA,"BUENO,",SENTIDO,CENTRO/BAIRRO,,,,,,,,
,4202,60,68,,,,,,,,AV.,"ARICANDUVA,",PROXIMO,A,RUA,DR.,MARIANO,C.,DE,"MOURA,",SENTIDO,CENTRO/BAIRRO,,,,,,
,4203,60,68,,,,,,,,AV.,"ARICANDUVA,",ALTURA,DO,NUMERO,"9291,",SENTIDO,BAIRRO/CENTRO,,,,,,,,,,
,4204,70,78,,,,,,,,AV.,VINTE,E,TRES,DE,"MAIO,",SOB,"VIADUTOTUTOIA,",SENTIDO,BAIRRO/CENTRO,,,,,,,,
,4205,70,78,,,,,,,,AV.,VINTE,E,TRES,DE,"MAIO,",SOB,"VIADUTOPEDROSO,",SENTIDO,CENTRO/BAIRRO,,,,,,,,
,4206,70,78,,,,,,,,AV,EMBAIXADOR,MACEDO,"SOARES,",SOB,PONTE,NOVA,"FEPASA,",SENTIDO,C.,BRANCO/A.,SENNA,,,,,,
,4207,60,68,,,,,,,,AV,SENADOR,TEOTONIO,"VILELA,",PX,PASSARELA,DO,HIPER,"EXTRA,",SENTIDO,CENTRO/BAIRRO,,,,,,,
,4208,60,68,,,,,,,,AV,SENADOR,TEOTONIO,"VILELA,",PX,PASSARELA,DO,HIPER,"EXTRA,",SENTIDO,BAIRRO/CENTRO,,,,,,,
,4209,60,68,,,,,,,,AV,DOUTOR,RICARDO,"JAFET,",SOB,VIADUTO,"SAIOA,",SENTIDO,IPIRANGA/IMIGRANTES,,,,,,,,,
,4210,60,68,,,,,,,,AV,DOUTOR,RICARDO,"JAFET,",SOB,VIADUTO,"SAIOA,",SENTIDO,IMIGRANTES/IPIRANGA,,,,,,,,,
,4211,60,68,,,,,,,,AV,PROFESSOR,NOE,DE,"AZEVEDO,",PROXIMOA,R,DONA,"JULIA,",SENTIDO,BAIRRO/CENTRO,,,,,,,
,4212,60,68,,,,,,,,RUA,"VERGUEIRO,",PROXIMO,A,RUA,"TAMOIO,SENTIDO",CENTRO/BAIRRO,,,,,,,,,,,
,4213,40,48,,,,,,,,R,MAURICIO,F.,"KLABIN,",PROXIMO,R,DR,LOPES,DE,"ALMEIDA,",SENTIDO,V,MARIANA/IPIRANGA,,,,,
,4214,70,78,,,,,,,,AV,NACOES,UNIDAS,(LOCAL),SOB,PONTE,CIDADE,"JARDIM,",SENTIDO,INTERLAGOS/C.,BRANCO,,,,,,,
,4215,70,78,,,,,,,,PRACA,ALBERTO,RANGEL,SOB,PONTE,"C.UNIVERSITARIA,",SENTIDO,C.,BRANCO/INTERLAG,,,,,,,,,
,4216,70,78,,,,,,,,AV,NACOES,"UNIDAS,",SOB,PONTE,DO,"SOCORRO,",SENTIDO,CASTELO,BRANCO/INTERLAGOS,,,,,,,,
,4217,70,78,,,,,,,,AV,NACOES,"UNIDAS,",SOB,PONTE,DO,"SOCORRO,",SENTIDO,INTERLAGOS/CASTELO,BRANCO,,,,,,,,
,4218,70,78,,,,,,,,AV,NACOES,UNIDAS,(LOCAL),SOB,PONTE,"C.UNIVERSITARIA,",SENTIDO,INTERLAG/C.,BRANCO,,,,,,,,
L2,4219,70,78,,,,-23.571322,-46.506523,,1/0/1900,RUA,MARIA,CARLOTA,"(BAIRRO/CENTRO),",NUMERO,395,,,,,,,,,,,,
L2,4220,50,58,,,,-23.570681,-46.50706,,1/0/1900,AVENIDA,RIO,DAS,PEDRAS,"(BAIRRO/CENTRO),",A,MAIS,18,METROS,DO,NUMERO,2021,,,,,,
L2,4221,60,68,,,,-23.521474,-46.52562,,1/0/1900,AV,SAO,MIGUEL,"(BAIRRO/CENTRO),",NUMERO105,,,,,,,,,,,,,
L2,4222,50,58,,,,-23.571322,-46.506523,,1/0/1900,AV,RIO,DAS,PEDRAS,"(CENTRO/BAIRRO),",A,MAIS,42,METROS,DA,R,MINERIOS,ATOMICOS,,,,,
L2,4223,50,58,,,,-23.571322,-46.506523,,1/0/1900,AV,RIO,DAS,PEDRAS,"(C/B),",A,MAIS,42M,DA,R,MINERIOS,ATOMICOS,-,FX,EXCL,DE,ONIBUS,
L2,4224,40,48,,,,-23.518496,-46.523573,,1/0/1900,RUA,ANTONIO,DE,FRANCA,E,SILVA,(C/B),X,RUA,MARIA,FARNETI,,,,,,,
L2,4225,40,48,,,,-23.621531,-46.503465,,1/0/1900,RUA,ANTONIO,DE,FRANCA,E,SILVA,(B/C),X,RUA,MARIA,FARNETI,,,,,,,
,4226,40,48,,,,,,,,RUA,CATUMBI,"(CENTRO/BAIRRO),",NUMERO,318,,,,,,,,,,,,,
,4227,40,48,,,,,,,,RUA,MARCOS,ARRUDA,(BAIRRO/CENTRO),X,RUA,CACHOEIRA,,,,,,,,,,,
,4228,40,48,,,,,,,,AVENIDA,GABRIELA,MISTRAL,(PENHA/MARGINAL,"TIETE),",NUMERO,520,,,,,,,,,,,
,4229,40,48,,,,,,,,AVENIDA,GABRIELA,MISTRAL,(MARGINAL,"TIETE/PENHA),",NUMERO,503,,,,,,,,,,,
,4230,40,48,,,,,,,,RUA,DO,ORATORIO,(MOOCA/VILA,"PRUDENTE),",OPOSTO,AO,NUMERO,2621,,,,,,,,,
,4231,40,48,,,,,,,,RUA,DO,ORATORIO,(VILA,"PRUDENTE/MOOCA),",NUMERO,2621,,,,,,,,,,,
,4232,40,48,,,,,,,,RUA,TUIUTI,(VILA,MARIA/TATUAPE),X,RUA,PADRE,ADELINO,,,,,,,,,,
,4233,40,48,,,,,,,,RUA,ANTONIO,DE,BARROS,(VILA,"FORMOSA/TATUAPE),",NUMERO,2361,,,,,,,,,,
,4234,40,48,,,,,,,,R,ANTONIO,DE,BARROS(TATUAPE/V,FORMOSA),X,RUA,AGUAPEI,,,,,,,,,,
,4235,40,48,,,,,,,,RUA,DO,ORFANATO,(BAIRRO/CENTRO),X,PRACA,PADRE,DAMIAO,,,,,,,,,,
L2,4236,60,68,,,,-23.499665,-46.523095,,1/0/1900,RUA,DOUTOR,ASSIS,RIBEIRO,"(BAIRRO/CENTRO),",OPOSTO,AO,NUMERO,3216,,,,,,,,,
L2,4237,60,68,,,,-23.499665,-46.523095,,1/0/1900,R,DOUTOR,ASSIS,RIBEIRO,"(BAIRRO/CENTRO),",OPOSTO,AO,NR,3216,-,FX,EXCLUS,DE,ONIBUS,,,,
L2,4238,50,58,,,,-23.505997,-46.523401,,1/0/1900,AVENIDA,CANGAIBA,"(CENTRO/BAIRRO),",NUMERO,3460,,,,,,,,,,,,,
L2,4239,50,58,,,,-23.521953,-46.52693,,1/0/1900,AVENIDA,AMADOR,BUENO,DA,VEIGA,"(CENTRO/BAIRRO),",NUMERO,1968,,,,,,,,,,
L2,4240,50,58,,,,-23.505889,-46.523616,,1/0/1900,AVENIDA,CANGAIBA,"(BAIRRO/CENTRO),",NUMERO,3427,,,,,,,,,,,,,
,4241,50,58,,,,,,,,AVENIDA,CANGAIBA,"(BAIRRO/CENTRO),",NUMERO,3427,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,,
L2,4242,60,68,,,,-23.509452,-46.54597,,1/0/1900,RUA,DOUTOR,ASSIS,RIBEIRO,"(CENTRO/BAIRRO),",A,MAIS,DE,81,METROS,DO,NUMERO,414,,,,,
L2,4243,60,68,,,,-23.509452,-46.54597,,1/0/1900,R,DR,ASSIS,RIBEIRO,"(CENTRO/BAIRRO),",AMAIS,DE,81M,DO,NR,414-FX,EXCLUS,DE,ONIBUS,,,,
,4244,50,58,,,,,,,,AVENIDA,JOAO,XXIII,(BAIRRO/CENTRO),X,AVENIDA,MONSENHOR,ANTONIO,CASTRO,,,,,,,,,
,4245,50,58,,,,,,,,AVENIDA,JOAO,XXIII,(CENTRO/BAIRRO),X,AVENIDA,MONSENHOR,ANTONIO,CASTRO,,,,,,,,,
